data_ini_se,chuva_semana_mm,chuva_dias_com_chuva,chuva_max_diaria_mm,cod_ibge
2018-05-20,4.44,1,4.4,5200100
2018-05-27,0.0,0,0.0,5200100
2018-06-03,0.03,0,0.03,5200100
2018-06-10,0.0,0,0.0,5200100
2018-06-17,0.0,0,0.0,5200100
2018-06-24,0.0,0,0.0,5200100
2018-07-01,0.0,0,0.0,5200100
2018-07-08,0.0,0,0.0,5200100
2018-07-15,0.0,0,0.0,5200100
2018-07-22,0.0,0,0.0,5200100
2018-07-29,0.0,0,0.0,5200100
2018-08-05,3.46,1,3.1,5200100
2018-08-12,9.07,3,4.16,5200100
2018-08-19,1.22,0,0.95,5200100
2018-08-26,0.06,0,0.06,5200100
2018-09-02,0.0,0,0.0,5200100
2018-09-09,1.92,1,1.4,5200100
2018-09-16,29.99,4,16.64,5200100
2018-09-23,3.8,2,1.75,5200100
2018-09-30,21.090000000000003,6,9.31,5200100
2018-10-07,19.87,4,7.82,5200100
2018-10-14,75.86,7,29.02,5200100
2018-10-21,63.04,5,22.74,5200100
2018-10-28,24.06,4,16.45,5200100
2018-11-04,66.87,7,20.81,5200100
2018-11-11,56.69,7,18.27,5200100
2018-11-18,56.0,6,17.71,5200100
2018-11-25,34.06,5,18.92,5200100
2018-12-02,73.0,7,27.58,5200100
2018-12-09,32.57,7,8.67,5200100
2018-12-16,10.85,2,5.97,5200100
2018-12-23,50.87,6,19.03,5200100
2018-12-30,31.33,5,9.66,5200100
2019-01-06,21.74,3,14.84,5200100
2019-01-13,22.67,6,8.69,5200100
2019-01-20,25.33,5,15.14,5200100
2019-01-27,5.37,1,3.82,5200100
2019-02-03,85.93,7,26.76,5200100
2019-02-10,39.99,5,19.76,5200100
2019-02-17,42.06,7,10.69,5200100
2019-02-24,63.57,6,19.24,5200100
2019-03-03,73.00999999999999,6,20.33,5200100
2019-03-10,59.89,7,28.5,5200100
2019-03-17,26.47,6,8.94,5200100
2019-03-24,37.99,4,14.91,5200100
2019-03-31,15.71,3,5.45,5200100
2019-04-07,59.23,7,11.61,5200100
2019-04-14,16.89,5,9.05,5200100
2019-04-21,31.77,4,10.26,5200100
2019-04-28,19.92,4,13.0,5200100
2019-05-05,2.5,1,1.04,5200100
2019-05-12,12.77,2,7.67,5200100
2019-05-19,0.02,0,0.01,5200100
2019-05-26,0.0,0,0.0,5200100
2019-06-02,0.93,0,0.88,5200100
2019-06-09,0.0,0,0.0,5200100
2019-06-16,0.0,0,0.0,5200100
2019-06-23,0.0,0,0.0,5200100
2019-06-30,0.8799999999999999,0,0.82,5200100
2019-07-07,0.0,0,0.0,5200100
2019-07-14,0.0,0,0.0,5200100
2019-07-21,0.0,0,0.0,5200100
2019-07-28,0.0,0,0.0,5200100
2019-08-04,0.06,0,0.06,5200100
2019-08-11,0.11,0,0.06,5200100
2019-08-18,0.08,0,0.08,5200100
2019-08-25,0.0,0,0.0,5200100
2019-09-01,1.07,0,0.74,5200100
2019-09-08,0.0,0,0.0,5200100
2019-09-15,0.0,0,0.0,5200100
2019-09-22,6.48,2,4.25,5200100
2019-09-29,2.49,0,0.59,5200100
2019-10-06,29.79,4,15.76,5200100
2019-10-13,0.04,0,0.02,5200100
2019-10-20,43.24,5,21.47,5200100
2019-10-27,22.56,6,10.88,5200100
2019-11-03,16.28,5,6.51,5200100
2019-11-10,14.4,4,7.81,5200100
2019-11-17,38.5,6,11.02,5200100
2019-11-24,35.07,7,10.8,5200100
2019-12-01,62.55,7,17.36,5200100
2019-12-08,57.6,7,17.76,5200100
2019-12-15,15.4,4,7.45,5200100
2019-12-22,28.35,6,9.95,5200100
2019-12-29,38.83,5,16.57,5200100
2020-01-05,96.97,7,53.96,5200100
2020-01-12,21.02,6,7.49,5200100
2020-01-19,98.28,7,28.11,5200100
2020-01-26,43.27,7,12.07,5200100
2020-02-02,138.23,7,31.49,5200100
2020-02-09,44.34,6,12.56,5200100
2020-02-16,64.62,7,16.9,5200100
2020-02-23,74.1,7,13.77,5200100
2020-03-01,65.62,7,17.4,5200100
2020-03-08,33.06,5,10.08,5200100
