municipio,uf,cod_ibge,fonte,conteudo,arquivo_local,url
Luziania,GO,5212501,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5212501.csv,https://info.dengue.mat.br/api/alertcity?geocode=5212501&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Luziania,GO,5212501,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5212501?formato=application/vnd.geo+json&qualidade=intermediaria
Mimoso de Goias,GO,5213053,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5213053.csv,https://info.dengue.mat.br/api/alertcity?geocode=5213053&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Mimoso de Goias,GO,5213053,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5213053.csv,https://info.dengue.mat.br/api/alertcity?geocode=5213053&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Mimoso de Goias,GO,5213053,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5213053.csv,https://info.dengue.mat.br/api/alertcity?geocode=5213053&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Mimoso de Goias,GO,5213053,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5213053?formato=application/vnd.geo+json&qualidade=intermediaria
Niquelandia,GO,5214606,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5214606.csv,https://info.dengue.mat.br/api/alertcity?geocode=5214606&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Niquelandia,GO,5214606,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5214606.csv,https://info.dengue.mat.br/api/alertcity?geocode=5214606&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Niquelandia,GO,5214606,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5214606.csv,https://info.dengue.mat.br/api/alertcity?geocode=5214606&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Niquelandia,GO,5214606,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5214606?formato=application/vnd.geo+json&qualidade=intermediaria
Novo Gama,GO,5215231,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5215231.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215231&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Novo Gama,GO,5215231,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5215231.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215231&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Novo Gama,GO,5215231,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5215231.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215231&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Novo Gama,GO,5215231,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5215231?formato=application/vnd.geo+json&qualidade=intermediaria
Padre Bernardo,GO,5215603,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5215603.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215603&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Padre Bernardo,GO,5215603,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5215603.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215603&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Padre Bernardo,GO,5215603,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5215603.csv,https://info.dengue.mat.br/api/alertcity?geocode=5215603&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Padre Bernardo,GO,5215603,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5215603?formato=application/vnd.geo+json&qualidade=intermediaria
Pirenopolis,GO,5217302,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5217302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217302&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Pirenopolis,GO,5217302,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5217302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217302&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Pirenopolis,GO,5217302,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5217302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217302&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Pirenopolis,GO,5217302,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5217302?formato=application/vnd.geo+json&qualidade=intermediaria
Planaltina,GO,5217609,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5217609.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217609&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Planaltina,GO,5217609,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5217609.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217609&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Planaltina,GO,5217609,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5217609.csv,https://info.dengue.mat.br/api/alertcity?geocode=5217609&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Planaltina,GO,5217609,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5217609?formato=application/vnd.geo+json&qualidade=intermediaria
Santo Antonio do Descoberto,GO,5219753,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5219753.csv,https://info.dengue.mat.br/api/alertcity?geocode=5219753&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Santo Antonio do Descoberto,GO,5219753,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5219753.csv,https://info.dengue.mat.br/api/alertcity?geocode=5219753&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Santo Antonio do Descoberto,GO,5219753,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5219753.csv,https://info.dengue.mat.br/api/alertcity?geocode=5219753&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Santo Antonio do Descoberto,GO,5219753,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5219753?formato=application/vnd.geo+json&qualidade=intermediaria
Sao Joao d'Alianca,GO,5220009,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5220009.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220009&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Sao Joao d'Alianca,GO,5220009,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5220009.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220009&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Sao Joao d'Alianca,GO,5220009,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5220009.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220009&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Sao Joao d'Alianca,GO,5220009,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5220009?formato=application/vnd.geo+json&qualidade=intermediaria
Simolandia,GO,5220686,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5220686.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220686&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Simolandia,GO,5220686,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5220686.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220686&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Simolandia,GO,5220686,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5220686.csv,https://info.dengue.mat.br/api/alertcity?geocode=5220686&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Simolandia,GO,5220686,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5220686?formato=application/vnd.geo+json&qualidade=intermediaria
Valparaiso de Goias,GO,5221858,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5221858.csv,https://info.dengue.mat.br/api/alertcity?geocode=5221858&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Valparaiso de Goias,GO,5221858,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5221858.csv,https://info.dengue.mat.br/api/alertcity?geocode=5221858&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
